model,stage,instance_id,chain_type,scenario_group,scenario_group_ja,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,reviews_match,9,12,1,3,1,2,9,32,23
gpt-4.1-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,4,8,1,2,0,1,4,18,14
gpt-4.1-mini,stage1,chain_03_e02_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,8,1,2,0,1,5,16,11
gpt-4.1-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,8,8,2,2,0,1,8,8,0
gpt-4.1-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,1,1
gpt-4.1-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,7,4
gpt-4.1-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,18,40,3,10,4,9,18,28,10
gpt-4.1-mini,stage1,chain_08_e06_sublime_python_script_execution_chain_stage1,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,7,16,0,4,1,3,5,8,3
gpt-4.1-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,17,14
gpt-4.1-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,adjudicated,2,12,0,3,0,2,2,16,14
gpt-4.1-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,11,24,0,6,0,5,7,17,10
gpt-4.1-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,8,1,2,1,1,6,12,6
gpt-4.1-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,10,20,1,5,1,4,10,20,10
gpt-4.1-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,6,3
gpt-4.1-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,6,3
gpt-4.1-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,5,8,0,2,1,1,5,16,11
gpt-4.1-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,8,0,2,1,1,6,8,2
gpt-4.1-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,8,0,2,1,1,5,25,20
gpt-4.1-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,5,8,0,2,0,1,5,16,11
gpt-4.1-mini,stage1,chain_20_e14_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,8,1,2,0,1,5,11,6
gpt-4.1-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,5,8,0,2,0,1,5,12,7
gpt-4.1-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,8,0,2,1,1,6,8,2
gpt-4.1-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,0,8,0,2,0,1,0,1,1
gpt-4.1-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,10,12,1,3,2,2,10,27,17
gpt-4.1-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,10,12,1,3,1,2,10,12,2
gpt-4.1-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,8,5
gpt-4.1-mini,stage1,chain_27_e19_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,5,8,0,2,1,1,5,20,15
gpt-4.1-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,12,0,3,0,2,0,0,0
gpt-4.1-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,28,27
gpt-4.1-mini,stage2,chain_03_e02_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,1,8,0,2,0,1,1,28,27
gpt-4.1-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,3,8,0,2,0,1,3,16,13
gpt-4.1-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,8,7
gpt-4.1-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,8,5
gpt-4.1-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,11,40,0,10,2,9,11,16,5
gpt-4.1-mini,stage2,chain_08_e06_sublime_python_script_execution_chain_stage2,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,0,16,0,4,0,3,0,0,0
gpt-4.1-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,4,3
gpt-4.1-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,adjudicated,6,12,0,3,0,2,5,8,3
gpt-4.1-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,11,24,0,6,1,5,6,12,6
gpt-4.1-mini,stage2,chain_12_e08_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,8,7
gpt-4.1-mini,stage2,chain_13_e09_dns_packet_capture_batch_chain_stage2,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,8,20,0,5,0,4,8,24,16
gpt-4.1-mini,stage2,chain_14_e09_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,16,13
gpt-4.1-mini,stage2,chain_15_e10_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,20,17
gpt-4.1-mini,stage2,chain_16_e11_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,8,0,2,0,1,3,4,1
gpt-4.1-mini,stage2,chain_17_e12_python_simplehttpserver_network_chain_stage2,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,1,8,0,2,0,1,1,8,7
